Scenario,State,Sector,Year,value
Reference,A,Electric Power,1990,4.873500224
Reference,A,Residential,1990,2.470493597
Reference,A,Commercial,1990,1.378194345
Reference,A,Industrial,1990,0.950758999
Reference,A,Transportation,1990,5.529330217
Reference,B,Electric Power,1990,25.76009933
Reference,B,Residential,1990,15.20902644
Reference,B,Commercial,1990,8.451674702
Reference,B,Industrial,1990,8.58053188
Reference,B,Transportation,1990,30.43787861
Reference,A,Electric Power,1991,4.450553953
Reference,A,Residential,1991,2.457679187
Reference,A,Commercial,1991,1.35269973
Reference,A,Industrial,1991,0.932124448
Reference,A,Transportation,1991,5.635631577
Reference,B,Electric Power,1991,26.42327461
Reference,B,Residential,1991,14.4247467
Reference,B,Commercial,1991,9.235943558
Reference,B,Industrial,1991,7.998573397
Reference,B,Transportation,1991,29.192598
Reference,A,Electric Power,1992,4.32087347
Reference,A,Residential,1992,2.578309353
Reference,A,Commercial,1992,1.200550962
Reference,A,Industrial,1992,1.264118285
Reference,A,Transportation,1992,5.602355128
Reference,B,Electric Power,1992,24.87123068
Reference,B,Residential,1992,16.52792512
Reference,B,Commercial,1992,8.978349
Reference,B,Industrial,1992,9.826005102
Reference,B,Transportation,1992,29.04418085
Reference,A,Electric Power,1993,4.49897901
Reference,A,Residential,1993,2.56844813
Reference,A,Commercial,1993,1.207015433
Reference,A,Industrial,1993,1.54543169
Reference,A,Transportation,1993,5.733601727
Reference,B,Electric Power,1993,22.3808302
Reference,B,Residential,1993,16.65227526
Reference,B,Commercial,1993,8.010242492
Reference,B,Industrial,1993,9.753891041
Reference,B,Transportation,1993,29.48799998
Reference,A,Electric Power,1994,4.445655547
Reference,A,Residential,1994,2.629286249
Reference,A,Commercial,1994,1.356439289
Reference,A,Industrial,1994,1.343102506
Reference,A,Transportation,1994,5.833964457
Reference,B,Electric Power,1994,22.64834556
Reference,B,Residential,1994,16.48163161
Reference,B,Commercial,1994,8.897933092
Reference,B,Industrial,1994,9.204725295
Reference,B,Transportation,1994,29.68440064
Reference,A,Electric Power,1995,4.360214322
Reference,A,Residential,1995,2.759389995
Reference,A,Commercial,1995,1.235238038
Reference,A,Industrial,1995,1.319031459
Reference,A,Transportation,1995,6.136486359
Reference,B,Electric Power,1995,21.6106341
Reference,B,Residential,1995,14.8910253
